close,air-quality,Class
FALSE,423,prestate
TRUE,625,poststate
FALSE,432,prestate
TRUE,NA,poststate
FALSE,457,prestate
TRUE,638,poststate
FALSE,439,prestate
TRUE,641,poststate
FALSE,NA,prestate
TRUE,613,poststate
FALSE,NA,prestate
TRUE,602,poststate
FALSE,457,prestate
TRUE,615,poststate
FALSE,448,prestate
TRUE,626,poststate
FALSE,427,prestate
TRUE,623,poststate
FALSE,436,prestate
TRUE,624,poststate
FALSE,462,prestate
TRUE,NA,poststate
FALSE,459,prestate
TRUE,559,poststate
FALSE,461,prestate
TRUE,590,poststate
FALSE,NA,prestate
TRUE,589,poststate
FALSE,400,prestate
TRUE,599,poststate
FALSE,448,prestate
TRUE,NA,poststate
FALSE,432,prestate
TRUE,582,poststate
FALSE,455,prestate
TRUE,605,poststate
