off-light,presence,Class
FALSE,NA,prestate
TRUE,NA,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,NA,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,NA,poststate
FALSE,FALSE,prestate
TRUE,NA,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,NA,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,NA,poststate
FALSE,NA,prestate
TRUE,FALSE,poststate
FALSE,NA,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,NA,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,NA,poststate
FALSE,FALSE,prestate
TRUE,NA,poststate
FALSE,NA,prestate
TRUE,FALSE,poststate
FALSE,NA,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,NA,poststate
FALSE,FALSE,prestate
TRUE,NA,poststate
