open,air-quality,Class
FALSE,770,prestate
TRUE,NA,poststate
FALSE,759,prestate
TRUE,NA,poststate
FALSE,NA,prestate
TRUE,452,poststate
FALSE,767,prestate
TRUE,NA,poststate
FALSE,779,prestate
TRUE,495,poststate
FALSE,786,prestate
TRUE,NA,poststate
FALSE,775,prestate
TRUE,468,poststate
FALSE,769,prestate
TRUE,NA,poststate
FALSE,777,prestate
TRUE,NA,poststate
FALSE,NA,prestate
TRUE,475,poststate
FALSE,782,prestate
TRUE,484,poststate
FALSE,NA,prestate
TRUE,456,poststate
FALSE,800,prestate
TRUE,NA,poststate
FALSE,NA,prestate
TRUE,454,poststate
FALSE,763,prestate
TRUE,471,poststate
FALSE,658,prestate
TRUE,NA,poststate
FALSE,761,prestate
TRUE,456,poststate
