close,air-quality,Class
FALSE,438,prestate
TRUE,625,poststate
FALSE,460,prestate
TRUE,670,poststate
FALSE,457,prestate
TRUE,638,poststate
FALSE,432,prestate
TRUE,679,poststate
FALSE,600,prestate
TRUE,641,poststate
FALSE,475,prestate
TRUE,613,poststate
FALSE,499,prestate
TRUE,602,poststate
FALSE,420,prestate
TRUE,627,poststate
FALSE,440,prestate
TRUE,610,poststate
FALSE,427,prestate
TRUE,647,poststate
FALSE,436,prestate
TRUE,612,poststate
FALSE,462,prestate
TRUE,600,poststate
FALSE,459,prestate
TRUE,565,poststate
FALSE,461,prestate
TRUE,590,poststate
FALSE,436,prestate
TRUE,540,poststate
FALSE,405,prestate
TRUE,599,poststate
FALSE,455,prestate
TRUE,602,poststate
FALSE,432,prestate
TRUE,582,poststate
FALSE,470,prestate
TRUE,616,poststate
FALSE,445,prestate
TRUE,602,poststate
