on-light,luminance,presence,Class
FALSE,330,TRUE,prestate
TRUE,603,FALSE,poststate
FALSE,420,TRUE,prestate
TRUE,590,TRUE,poststate
FALSE,390,TRUE,prestate
TRUE,632,TRUE,poststate
FALSE,320,TRUE,prestate
TRUE,640,FALSE,poststate
FALSE,420,TRUE,prestate
TRUE,666,TRUE,poststate
FALSE,379,TRUE,prestate
TRUE,645,FALSE,poststate
FALSE,364,TRUE,prestate
TRUE,570,TRUE,poststate
FALSE,365,FALSE,prestate
TRUE,634,TRUE,poststate
FALSE,375,TRUE,prestate
TRUE,612,TRUE,poststate
FALSE,351,TRUE,prestate
TRUE,603,TRUE,poststate
FALSE,412,TRUE,prestate
TRUE,657,FALSE,poststate
FALSE,330,TRUE,prestate
TRUE,632,TRUE,poststate
FALSE,395,TRUE,prestate
TRUE,623,TRUE,poststate
FALSE,425,FALSE,prestate
TRUE,676,FALSE,poststate
FALSE,465,FALSE,prestate
TRUE,690,TRUE,poststate
FALSE,356,TRUE,prestate
TRUE,630,TRUE,poststate
FALSE,356,TRUE,prestate
TRUE,606,TRUE,poststate
FALSE,390,TRUE,prestate
TRUE,660,FALSE,poststate
FALSE,379,TRUE,prestate
TRUE,631,TRUE,poststate
FALSE,389,TRUE,prestate
TRUE,700,FALSE,poststate
FALSE,390,TRUE,prestate
TRUE,579,TRUE,poststate
FALSE,386,FALSE,prestate
TRUE,638,TRUE,poststate
FALSE,392,FALSE,prestate
TRUE,645,TRUE,poststate
