off-light,presence,Class
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
FALSE,FALSE,prestate
TRUE,FALSE,poststate
