on-light,luminance,presence,Class
FALSE,353,TRUE,prestate
TRUE,603,TRUE,poststate
FALSE,370,TRUE,prestate
TRUE,620,TRUE,poststate
FALSE,382,TRUE,prestate
TRUE,632,TRUE,poststate
FALSE,390,TRUE,prestate
TRUE,640,TRUE,poststate
FALSE,400,TRUE,prestate
TRUE,650,TRUE,poststate
FALSE,379,TRUE,prestate
TRUE,630,TRUE,poststate
FALSE,349,TRUE,prestate
TRUE,570,TRUE,poststate
FALSE,365,TRUE,prestate
TRUE,618,TRUE,poststate
FALSE,360,TRUE,prestate
TRUE,612,TRUE,poststate
FALSE,351,TRUE,prestate
TRUE,595,TRUE,poststate
FALSE,407,TRUE,prestate
TRUE,657,TRUE,poststate
FALSE,380,TRUE,prestate
TRUE,632,TRUE,poststate
FALSE,395,TRUE,prestate
TRUE,648,TRUE,poststate
FALSE,425,TRUE,prestate
TRUE,676,TRUE,poststate
FALSE,465,TRUE,prestate
TRUE,717,TRUE,poststate
FALSE,378,TRUE,prestate
TRUE,630,TRUE,poststate
FALSE,356,TRUE,prestate
TRUE,606,TRUE,poststate
FALSE,352,TRUE,prestate
TRUE,605,TRUE,poststate
FALSE,379,TRUE,prestate
TRUE,631,TRUE,poststate
FALSE,389,TRUE,prestate
TRUE,641,TRUE,poststate
FALSE,355,TRUE,prestate
TRUE,579,TRUE,poststate
FALSE,386,TRUE,prestate
TRUE,638,TRUE,poststate
FALSE,392,TRUE,prestate
TRUE,645,TRUE,poststate
